utc,lat,lon,sog_kn,cog_deg,quality,sats,hdop
2024-03-27T12:20:52Z,26.543200,-76.969240,5.06,340.3,0,0,99.0
2024-03-27T12:20:58Z,26.543432,-76.969218,4.99,337.1,1,4,2.5
2024-03-27T12:21:03Z,26.543538,-76.969272,4.96,336.3,1,4,2.5
2024-03-27T12:21:08Z,26.543643,-76.969327,5.01,332.6,1,4,2.5
2024-03-27T12:21:13Z,26.543765,-76.969383,5.29,330.5,1,4,2.5
2024-03-27T12:21:18Z,26.543858,-76.969455,5.01,326.8,1,5,2.1
2024-03-27T12:21:23Z,26.543950,-76.969528,4.90,326.8,1,5,2.1
2024-03-27T12:21:28Z,26.544040,-76.969600,4.97,327.4,1,6,2.0
2024-03-27T12:21:38Z,26.544228,-76.969742,4.97,325.6,1,6,2.0
2024-03-27T12:21:43Z,26.544322,-76.969813,4.94,325.6,1,6,2.0
2024-03-27T12:21:48Z,26.544417,-76.969885,4.92,326.6,1,6,2.0
2024-03-27T12:21:53Z,26.544512,-76.969955,4.94,324.4,1,6,2.0
2024-03-27T12:21:58Z,26.544605,-76.970032,5.19,322.4,1,6,2.0
2024-03-27T12:22:08Z,26.544808,-76.970198,5.60,323.7,1,6,2.0
2024-03-27T12:22:13Z,26.544910,-76.970288,5.63,320.0,2,6,2.0
2024-03-27T12:22:18Z,26.545010,-76.970385,5.71,316.8,2,6,2.0
2024-03-27T12:22:23Z,26.545110,-76.970487,5.86,316.5,2,6,2.0
2024-03-27T12:22:28Z,26.545210,-76.970588,5.83,316.9,2,6,2.0
2024-03-27T12:22:38Z,26.545408,-76.970800,5.85,314.3,2,7,1.2
2024-03-27T12:22:43Z,26.545500,-76.970913,5.94,312.4,2,7,1.2
2024-03-27T12:22:48Z,26.545597,-76.971025,5.94,312.3,2,7,1.2
2024-03-27T12:22:53Z,26.545688,-76.971140,5.76,311.9,2,7,1.2
2024-03-27T12:22:58Z,26.545773,-76.971255,5.83,309.1,2,7,1.2
2024-03-27T12:23:08Z,26.545953,-76.971490,5.85,312.8,2,7,1.2
2024-03-27T12:23:13Z,26.546048,-76.971600,5.96,314.1,2,7,1.2
2024-03-27T12:23:18Z,26.546145,-76.971712,5.87,312.8,2,7,1.2
2024-03-27T12:23:23Z,26.546237,-76.971820,5.77,311.3,2,7,1.2
2024-03-27T12:23:28Z,26.546328,-76.971930,5.74,312.1,2,8,1.1
2024-03-27T12:23:38Z,26.546512,-76.972152,5.85,312.7,2,8,1.1
2024-03-27T12:23:43Z,26.546605,-76.972263,5.74,313.6,2,8,1.1
2024-03-27T12:23:48Z,26.546698,-76.972373,5.72,313.9,2,8,1.1
2024-03-27T12:23:53Z,26.546790,-76.972490,5.90,309.2,2,8,1.1
2024-03-27T12:23:58Z,26.546875,-76.972608,5.86,308.6,2,8,1.1
2024-03-27T12:24:08Z,26.547050,-76.972847,5.82,310.2,2,8,1.1
2024-03-27T12:24:13Z,26.547137,-76.972965,5.92,309.0,2,8,1.1
2024-03-27T12:24:18Z,26.547220,-76.973085,5.87,307.6,2,8,1.1
2024-03-27T12:24:23Z,26.547303,-76.973205,5.96,307.9,2,8,1.1
2024-03-27T12:24:28Z,26.547383,-76.973328,5.89,305.6,2,8,1.1
2024-03-27T12:24:38Z,26.547548,-76.973572,5.98,306.4,2,8,1.1
2024-03-27T12:24:43Z,26.547630,-76.973695,5.88,307.5,2,8,1.1
