utc,lat,lon,sog_kn,cog_deg,quality,sats,hdop
2024-03-25T11:16:04Z,26.448963,-76.990917,0.21,143.4,0,0,99.0
2024-03-25T11:16:09Z,26.448970,-76.990930,0.64,282.1,1,3,2.8
2024-03-25T11:16:14Z,26.448995,-76.990943,7.96,312.4,1,3,2.8
2024-03-25T11:16:19Z,26.448935,-76.990925,0.73,297.6,1,3,2.8
2024-03-25T11:16:24Z,26.448928,-76.990885,0.49,133.2,1,3,2.8
2024-03-25T11:16:29Z,26.448948,-76.990918,0.24,166.0,1,3,2.8
2024-03-25T11:16:34Z,26.448957,-76.990927,0.20,149.3,1,3,2.8
2024-03-25T11:16:39Z,26.448952,-76.990918,0.30,164.3,1,3,2.8
2024-03-25T11:16:49Z,26.448963,-76.990925,0.17,153.8,1,3,2.8
2024-03-25T11:16:54Z,26.448968,-76.990928,0.15,129.8,1,3,2.8
2024-03-25T11:16:59Z,26.448977,-76.990932,0.06,106.7,1,3,2.8
2024-03-25T11:17:04Z,26.448982,-76.990935,0.03,327.0,1,3,2.8
2024-03-25T11:17:09Z,26.448987,-76.990938,0.16,143.9,1,3,2.8
2024-03-25T11:17:19Z,26.448980,-76.990927,0.24,170.7,1,3,2.8
2024-03-25T11:17:24Z,26.448952,-76.990933,0.28,134.1,1,3,2.8
2024-03-25T11:17:29Z,26.449000,-76.990922,0.46,143.2,1,3,2.8
2024-03-25T11:17:34Z,26.448978,-76.990923,0.49,165.3,1,3,2.8
2024-03-25T11:17:39Z,26.448975,-76.990922,0.67,175.3,1,3,2.8
2024-03-25T11:17:49Z,26.449022,-76.990918,0.15,125.4,1,4,3.8
2024-03-25T11:17:54Z,26.448995,-76.990925,0.23,155.8,1,4,3.7
2024-03-25T11:17:59Z,26.448990,-76.990920,0.31,139.2,1,4,3.7
2024-03-25T11:18:04Z,26.448975,-76.990918,0.42,163.2,1,4,3.7
2024-03-25T11:18:09Z,26.448962,-76.990912,0.48,146.7,1,4,3.7
2024-03-25T11:18:19Z,26.448940,-76.990893,0.40,136.6,1,4,3.7
2024-03-25T11:18:24Z,26.448942,-76.990892,0.37,124.6,1,4,3.7
2024-03-25T11:18:29Z,26.448943,-76.990893,0.24,147.1,1,4,3.7
2024-03-25T11:18:34Z,26.448947,-76.990898,0.25,172.1,1,4,3.7
2024-03-25T11:18:39Z,26.448953,-76.990905,0.12,200.7,1,4,3.7
2024-03-25T11:18:49Z,26.448972,-76.990930,0.21,318.6,1,4,3.6
2024-03-25T11:18:54Z,26.448970,-76.990930,0.32,321.4,1,4,3.6
2024-03-25T11:18:59Z,26.448973,-76.990935,0.18,282.0,1,4,3.6
2024-03-25T11:19:04Z,26.448973,-76.990935,0.13,311.6,1,4,3.6
2024-03-25T11:19:14Z,26.449012,-76.990967,0.23,306.3,1,4,3.6
2024-03-25T11:19:19Z,26.449018,-76.990973,0.32,305.3,1,4,3.6
2024-03-25T11:19:24Z,26.449032,-76.990982,0.12,315.6,1,4,3.6
2024-03-25T11:19:29Z,26.449037,-76.990982,0.13,38.0,1,4,3.6
2024-03-25T11:19:34Z,26.449033,-76.990970,0.19,101.0,1,4,3.6
2024-03-25T11:19:44Z,26.449012,-76.990948,0.32,124.1,1,4,3.5
2024-03-25T11:19:49Z,26.449018,-76.990942,0.03,133.2,1,4,3.5
2024-03-25T11:19:54Z,26.449023,-76.990953,0.77,153.2,1,4,3.5
2024-03-25T11:19:59Z,26.449025,-76.990977,0.46,217.8,1,4,3.5
2024-03-25T11:20:04Z,26.449018,-76.990968,0.48,80.2,1,4,3.5
2024-03-25T11:20:09Z,26.449075,-76.990960,0.46,311.6,1,4,3.5
2024-03-25T11:20:14Z,26.449058,-76.990968,0.17,105.0,1,4,3.5
2024-03-25T11:20:19Z,26.448992,-76.990967,0.33,152.9,1,4,3.5
2024-03-25T11:20:24Z,26.449018,-76.990987,0.22,106.3,1,4,3.5
2024-03-25T11:20:29Z,26.449027,-76.991010,0.19,266.4,1,4,3.5
2024-03-25T11:20:34Z,26.449050,-76.991018,0.28,262.9,1,4,3.5
2024-03-25T11:20:44Z,26.449060,-76.991013,0.47,311.1,1,4,3.4
2024-03-25T11:20:49Z,26.449033,-76.990988,0.31,169.9,1,4,3.4
2024-03-25T11:20:54Z,26.449010,-76.990973,0.26,180.8,1,4,3.4
2024-03-25T11:20:59Z,26.448998,-76.990965,0.14,120.2,1,4,3.4
2024-03-25T11:21:09Z,26.449003,-76.990950,0.20,62.8,1,5,1.7
2024-03-25T11:21:14Z,26.449007,-76.990950,0.22,317.3,1,5,1.7
2024-03-25T11:21:19Z,26.449008,-76.990952,0.17,289.3,1,5,1.7
2024-03-25T11:21:24Z,26.449010,-76.990957,0.18,333.9,1,5,1.7
2024-03-25T11:21:29Z,26.449013,-76.990970,0.15,340.8,1,5,1.7
2024-03-25T11:21:34Z,26.449020,-76.990960,0.17,32.0,1,5,1.7
2024-03-25T11:21:39Z,26.449025,-76.990962,0.31,63.7,1,5,1.7
2024-03-25T11:21:44Z,26.449037,-76.990953,0.17,72.7,1,5,1.7
2024-03-25T11:21:49Z,26.449048,-76.990945,0.31,188.5,1,5,1.7
2024-03-25T11:21:54Z,26.449060,-76.990958,0.16,232.1,1,5,1.7
2024-03-25T11:21:59Z,26.449058,-76.990958,0.34,52.5,1,5,1.7
2024-03-25T11:22:04Z,26.449048,-76.990938,0.61,88.8,1,5,1.7
2024-03-25T11:22:09Z,26.449013,-76.990917,0.64,178.0,1,5,1.7
2024-03-25T11:22:14Z,26.449005,-76.990897,0.69,121.0,1,5,1.7
2024-03-25T11:22:19Z,26.448993,-76.990895,0.79,144.2,1,5,1.7
2024-03-25T11:22:24Z,26.449013,-76.990895,0.43,160.8,1,5,1.7
2024-03-25T11:22:34Z,26.449012,-76.990920,1.34,354.3,1,5,1.7
2024-03-25T11:22:39Z,26.449013,-76.990935,0.08,147.2,1,5,1.7
2024-03-25T11:22:44Z,26.449013,-76.990932,0.29,223.6,1,5,1.7
2024-03-25T11:22:49Z,26.448993,-76.990927,0.24,251.4,1,5,1.7
2024-03-25T11:22:59Z,26.449008,-76.990935,0.13,67.3,1,5,1.7
2024-03-25T11:23:04Z,26.449013,-76.990927,0.10,74.9,1,5,1.7
2024-03-25T11:23:09Z,26.449012,-76.990935,0.10,262.4,1,5,1.7
2024-03-25T11:23:14Z,26.449010,-76.990940,0.22,291.2,1,5,1.7
2024-03-25T11:23:19Z,26.449010,-76.990945,0.17,258.6,1,6,1.5
2024-03-25T11:23:29Z,26.449002,-76.990950,0.21,243.6,1,6,1.5
2024-03-25T11:23:34Z,26.449002,-76.990950,0.03,169.9,1,6,1.5
2024-03-25T11:23:39Z,26.449005,-76.990950,0.10,5.0,1,6,1.5
2024-03-25T11:23:44Z,26.449007,-76.990953,0.24,269.9,1,6,1.5
2024-03-25T11:23:49Z,26.449010,-76.990955,0.06,279.6,1,6,1.5
2024-03-25T11:23:54Z,26.449015,-76.990957,0.53,299.5,1,6,1.5
2024-03-25T11:24:04Z,26.449017,-76.990962,0.39,292.5,1,6,1.5
2024-03-25T11:24:09Z,26.449033,-76.990963,0.28,237.3,1,6,1.5
2024-03-25T11:24:14Z,26.449028,-76.990955,0.15,152.7,1,6,1.5
2024-03-25T11:24:19Z,26.449033,-76.990947,0.29,210.8,1,6,1.5
2024-03-25T11:24:24Z,26.449033,-76.990957,0.22,319.5,1,5,1.8
2024-03-25T11:24:34Z,26.449022,-76.990930,1.01,156.7,1,6,1.5
2024-03-25T11:24:39Z,26.449013,-76.990910,0.60,145.7,1,6,1.5
2024-03-25T11:24:44Z,26.449018,-76.990913,0.35,206.0,1,6,1.5
2024-03-25T11:24:49Z,26.448998,-76.990900,0.86,211.5,1,6,1.5
2024-03-25T11:24:54Z,26.448995,-76.990895,0.25,217.1,1,6,1.5
2024-03-25T11:25:04Z,26.448983,-76.990892,0.28,110.1,1,6,1.5
2024-03-25T11:25:09Z,26.448975,-76.990898,0.74,186.1,1,6,1.5
2024-03-25T11:25:14Z,26.448965,-76.990905,0.33,94.0,1,6,1.5
2024-03-25T11:25:19Z,26.448975,-76.990897,0.91,166.2,1,6,1.5
2024-03-25T11:25:24Z,26.448967,-76.990892,0.20,220.1,1,6,1.5
2024-03-25T11:25:34Z,26.448950,-76.990915,0.29,294.0,1,6,1.5
2024-03-25T11:25:39Z,26.448958,-76.990925,0.78,320.5,1,5,1.7
2024-03-25T11:25:44Z,26.448972,-76.990935,0.39,148.9,1,6,1.5
2024-03-25T11:25:49Z,26.448980,-76.990943,0.39,327.4,1,6,1.5
