utc,lat,lon,sog_kn,cog_deg,quality,sats,hdop
2024-03-23T14:45:33Z,26.545953,-77.048753,2.65,40.1,0,0,99.0
2024-03-23T14:45:38Z,26.545983,-77.048672,2.93,57.2,1,3,1.8
2024-03-23T14:45:43Z,26.546013,-77.048602,3.09,60.5,1,3,1.8
2024-03-23T14:45:48Z,26.546128,-77.048413,2.34,39.0,1,4,1.7
2024-03-23T14:45:53Z,26.546160,-77.048338,2.98,54.5,1,4,1.7
2024-03-23T14:45:58Z,26.546207,-77.048323,2.94,56.8,1,5,1.4
2024-03-23T14:46:03Z,26.546245,-77.048268,2.61,58.3,1,5,1.4
2024-03-23T14:46:08Z,26.546253,-77.048213,2.30,85.7,1,5,1.4
2024-03-23T14:46:13Z,26.546287,-77.048160,2.41,76.0,1,5,1.4
2024-03-23T14:46:23Z,26.546352,-77.048047,2.54,59.6,1,5,1.4
2024-03-23T14:46:28Z,26.546390,-77.047998,2.94,55.3,1,5,1.4
2024-03-23T14:46:33Z,26.546430,-77.047943,2.63,59.6,1,5,1.4
2024-03-23T14:46:38Z,26.546465,-77.047890,2.71,57.6,1,5,1.4
2024-03-23T14:46:43Z,26.546492,-77.047843,2.41,58.0,1,5,1.4
2024-03-23T14:46:53Z,26.546560,-77.047737,2.56,54.0,1,5,1.4
2024-03-23T14:46:58Z,26.546595,-77.047687,2.46,55.4,1,5,1.4
2024-03-23T14:47:03Z,26.546630,-77.047637,2.52,59.9,1,5,1.4
2024-03-23T14:47:08Z,26.546665,-77.047585,2.35,51.6,1,5,1.4
2024-03-23T14:47:13Z,26.546702,-77.047540,2.61,55.0,1,5,1.4
2024-03-23T14:47:18Z,26.546733,-77.047493,1.51,51.9,1,5,1.4
2024-03-23T14:47:28Z,26.546818,-77.047410,2.25,53.1,1,6,1.2
2024-03-23T14:47:33Z,26.546858,-77.047367,2.82,53.2,1,7,1.1
2024-03-23T14:47:38Z,26.546905,-77.047317,2.80,41.9,1,7,1.1
2024-03-23T14:47:43Z,26.546953,-77.047265,3.00,39.4,1,7,1.1
2024-03-23T14:47:48Z,26.547012,-77.047230,2.75,17.7,1,7,1.1
2024-03-23T14:47:58Z,26.547128,-77.047225,2.63,325.9,2,7,1.1
2024-03-23T14:48:03Z,26.547163,-77.047280,2.55,293.3,2,7,1.1
2024-03-23T14:48:08Z,26.547190,-77.047347,2.63,303.1,2,7,1.1
2024-03-23T14:48:13Z,26.547210,-77.047408,2.27,261.3,2,7,1.1
2024-03-23T14:48:18Z,26.547203,-77.047460,2.37,258.6,2,7,1.1
2024-03-23T14:48:23Z,26.547215,-77.047515,2.60,296.1,2,7,1.1
2024-03-23T14:48:33Z,26.547272,-77.047638,2.61,303.6,2,8,0.9
2024-03-23T14:48:38Z,26.547308,-77.047695,3.01,307.9,2,8,0.9
2024-03-23T14:48:43Z,26.547352,-77.047750,2.97,317.8,2,8,0.9
2024-03-23T14:48:48Z,26.547402,-77.047797,2.66,323.3,2,8,0.9
2024-03-23T14:48:53Z,26.547455,-77.047832,2.67,347.8,2,8,0.9
2024-03-23T14:48:58Z,26.547508,-77.047860,2.69,319.0,2,7,1.1
2024-03-23T14:49:03Z,26.547550,-77.047903,2.65,318.2,2,8,0.9
2024-03-23T14:49:08Z,26.547597,-77.047943,2.38,321.2,2,8,0.9
2024-03-23T14:49:13Z,26.547642,-77.047980,2.41,310.9,2,8,0.9
2024-03-23T14:49:18Z,26.547682,-77.048013,2.03,328.6,2,8,0.9
2024-03-23T14:49:23Z,26.547692,-77.048033,0.20,20.6,2,8,0.9
2024-03-23T14:49:28Z,26.547690,-77.048032,0.18,71.7,2,8,0.9
2024-03-23T14:49:33Z,26.547690,-77.048033,0.32,170.6,2,8,0.9
2024-03-23T14:49:43Z,26.547693,-77.047993,0.19,79.5,2,8,0.9
2024-03-23T14:49:48Z,26.547697,-77.047982,0.17,21.3,2,8,0.9
2024-03-23T14:49:53Z,26.547698,-77.047982,0.26,103.9,2,8,0.9
2024-03-23T14:49:58Z,26.547700,-77.047983,0.11,27.1,2,8,0.9
2024-03-23T14:50:03Z,26.547698,-77.047988,0.32,67.7,2,8,0.9
2024-03-23T14:50:08Z,26.547695,-77.047987,0.30,105.5,2,8,0.9
2024-03-23T14:50:13Z,26.547693,-77.047982,0.11,146.1,2,8,0.9
2024-03-23T14:50:18Z,26.547688,-77.047985,0.12,87.0,1,8,0.9
2024-03-23T14:50:23Z,26.547687,-77.047987,0.44,82.5,1,8,0.9
