utc,lat,lon,sog_kn,cog_deg,quality,sats,hdop
2024-03-28T11:17:20Z,26.548793,-77.053662,0.62,217.5,0,0,99.0
2024-03-28T11:17:25Z,26.548888,-77.053632,2.95,210.0,1,3,3.5
2024-03-28T11:17:30Z,26.548977,-77.053685,0.38,97.3,1,5,2.3
2024-03-28T11:17:35Z,26.548987,-77.053712,0.34,310.8,1,5,2.3
2024-03-28T11:17:40Z,26.548983,-77.053732,0.32,314.6,1,5,2.3
2024-03-28T11:17:45Z,26.548980,-77.053708,0.21,322.6,1,5,2.3
2024-03-28T11:17:50Z,26.548968,-77.053660,0.07,30.4,1,6,1.4
2024-03-28T11:17:55Z,26.548968,-77.053648,0.10,333.9,1,7,1.4
2024-03-28T11:18:00Z,26.548968,-77.053645,0.20,327.9,1,7,1.4
2024-03-28T11:18:10Z,26.548972,-77.053643,0.18,334.4,1,7,1.4
2024-03-28T11:18:15Z,26.548972,-77.053642,0.20,345.0,1,7,1.4
2024-03-28T11:18:20Z,26.548973,-77.053640,0.20,352.0,1,7,1.4
2024-03-28T11:18:25Z,26.548975,-77.053638,0.22,354.5,1,7,1.4
2024-03-28T11:18:30Z,26.548977,-77.053637,0.18,346.0,1,7,1.4
2024-03-28T11:18:35Z,26.548977,-77.053637,0.16,336.8,1,7,1.4
2024-03-28T11:18:40Z,26.548980,-77.053638,0.21,325.8,1,7,1.4
2024-03-28T11:18:45Z,26.548982,-77.053640,0.13,324.5,1,7,1.4
2024-03-28T11:18:50Z,26.548975,-77.053630,0.29,89.1,1,7,1.4
2024-03-28T11:18:55Z,26.548977,-77.053627,0.21,345.1,1,7,1.4
2024-03-28T11:19:00Z,26.548990,-77.053625,0.17,130.0,1,7,1.4
2024-03-28T11:19:05Z,26.548983,-77.053625,0.06,63.1,1,6,1.5
2024-03-28T11:19:10Z,26.548990,-77.053635,0.65,338.7,1,7,1.4
2024-03-28T11:19:15Z,26.548978,-77.053638,0.23,344.0,1,7,1.4
2024-03-28T11:19:20Z,26.548980,-77.053642,0.16,317.6,1,7,1.4
2024-03-28T11:19:25Z,26.548982,-77.053635,0.27,323.9,1,7,1.4
2024-03-28T11:19:30Z,26.548987,-77.053638,0.05,16.8,1,7,1.4
2024-03-28T11:19:35Z,26.548993,-77.053640,0.15,237.8,1,7,1.4
2024-03-28T11:19:40Z,26.548977,-77.053637,0.21,116.8,1,7,1.4
2024-03-28T11:19:45Z,26.548970,-77.053637,0.17,282.0,1,7,1.4
2024-03-28T11:19:50Z,26.548975,-77.053648,0.14,326.8,1,7,1.4
2024-03-28T11:19:55Z,26.548990,-77.053658,0.17,330.6,1,7,1.4
