utc,lat,lon,sog_kn,cog_deg,quality,sats,hdop
2024-03-26T11:47:52Z,26.363005,-76.987000,0.16,41.0,0,0,99.0
2024-03-26T11:47:57Z,26.363007,-76.987003,0.17,9.3,1,4,5.5
2024-03-26T11:48:07Z,26.363023,-76.987003,0.28,9.7,1,4,5.5
2024-03-26T11:48:12Z,26.363028,-76.987005,0.32,356.4,1,4,5.5
2024-03-26T11:48:17Z,26.363032,-76.987008,0.18,6.6,1,4,5.5
2024-03-26T11:48:22Z,26.363033,-76.987010,0.30,2.3,1,4,5.5
2024-03-26T11:48:27Z,26.363035,-76.987013,0.25,350.3,1,4,5.5
2024-03-26T11:48:32Z,26.363037,-76.987012,0.29,41.0,1,4,5.4
2024-03-26T11:48:37Z,26.363040,-76.987008,0.17,358.4,1,4,5.4
2024-03-26T11:48:42Z,26.363043,-76.987005,0.29,25.8,1,4,5.4
2024-03-26T11:48:47Z,26.363027,-76.986997,0.55,119.1,1,4,5.4
2024-03-26T11:48:52Z,26.363035,-76.986998,0.28,9.2,1,4,5.4
2024-03-26T11:48:57Z,26.363048,-76.987000,0.32,14.3,1,4,5.4
2024-03-26T11:49:02Z,26.363062,-76.986998,0.25,40.4,1,4,5.4
2024-03-26T11:49:07Z,26.363072,-76.986995,0.39,26.4,1,4,5.4
2024-03-26T11:49:12Z,26.363082,-76.986993,0.25,33.8,1,4,5.4
2024-03-26T11:49:17Z,26.363088,-76.986990,0.08,37.0,1,4,5.4
2024-03-26T11:49:22Z,26.363092,-76.986988,0.12,21.8,1,4,5.4
2024-03-26T11:49:32Z,26.363087,-76.986992,0.02,227.1,1,4,5.4
2024-03-26T11:49:37Z,26.363083,-76.986995,0.14,130.5,1,4,5.4
2024-03-26T11:49:42Z,26.363080,-76.986995,0.15,153.6,1,4,5.4
2024-03-26T11:49:47Z,26.363077,-76.986995,0.15,178.6,1,4,5.4
2024-03-26T11:49:52Z,26.363073,-76.986993,0.21,171.4,1,4,5.4
2024-03-26T11:49:57Z,26.363042,-76.987003,0.10,252.8,1,5,2.6
2024-03-26T11:50:02Z,26.363040,-76.987005,0.02,60.4,1,5,2.6
2024-03-26T11:50:07Z,26.363040,-76.987003,0.12,199.5,1,5,2.6
2024-03-26T11:50:12Z,26.363037,-76.987007,0.18,266.7,1,5,2.6
2024-03-26T11:50:17Z,26.363033,-76.987007,0.07,176.4,1,5,2.6
2024-03-26T11:50:22Z,26.363030,-76.987013,0.09,194.5,1,5,2.6
2024-03-26T11:50:27Z,26.363022,-76.987007,0.15,164.1,1,5,2.6
2024-03-26T11:50:32Z,26.363012,-76.987000,0.12,149.0,1,5,2.6
2024-03-26T11:50:37Z,26.363008,-76.986997,0.16,341.5,1,5,2.6
2024-03-26T11:50:42Z,26.363003,-76.986998,0.05,200.9,1,5,2.6
2024-03-26T11:50:47Z,26.363007,-76.987002,0.05,224.7,1,5,2.6
2024-03-26T11:50:52Z,26.363007,-76.987007,0.15,260.0,1,5,2.6
2024-03-26T11:51:02Z,26.363000,-76.987015,0.07,249.7,1,5,2.6
2024-03-26T11:51:07Z,26.362993,-76.987020,0.30,327.3,1,5,2.6
2024-03-26T11:51:12Z,26.362995,-76.987023,0.06,339.2,1,5,2.6
2024-03-26T11:51:22Z,26.363007,-76.987027,0.01,169.2,1,5,2.7
2024-03-26T11:51:27Z,26.363003,-76.987027,0.13,244.9,1,5,2.7
2024-03-26T11:51:32Z,26.362993,-76.987032,0.04,212.9,1,5,2.7
2024-03-26T11:51:37Z,26.362990,-76.987032,0.03,69.5,1,5,2.7
2024-03-26T11:51:42Z,26.362990,-76.987028,0.32,168.8,1,5,2.7
2024-03-26T11:51:47Z,26.363010,-76.987023,0.24,24.6,1,5,2.7
2024-03-26T11:51:52Z,26.362993,-76.987023,0.48,177.0,1,5,2.7
2024-03-26T11:51:57Z,26.362993,-76.987022,0.14,203.2,1,5,2.7
2024-03-26T11:52:07Z,26.362990,-76.987025,0.13,300.1,1,5,2.7
2024-03-26T11:52:12Z,26.362997,-76.987027,0.02,257.9,1,5,2.7
2024-03-26T11:52:17Z,26.362992,-76.987028,0.27,347.3,1,5,2.7
2024-03-26T11:52:27Z,26.362993,-76.987037,0.59,186.6,1,5,2.7
2024-03-26T11:52:32Z,26.362998,-76.987037,0.08,295.7,1,5,2.7
2024-03-26T11:52:37Z,26.362993,-76.987037,0.16,85.9,1,5,2.7
2024-03-26T11:52:42Z,26.363000,-76.987032,0.32,36.5,1,5,2.7
2024-03-26T11:52:47Z,26.363002,-76.987027,0.30,30.1,1,5,2.7
2024-03-26T11:52:52Z,26.363013,-76.987027,1.00,13.7,1,5,2.7
2024-03-26T11:52:57Z,26.363028,-76.987020,0.29,61.6,1,5,2.7
2024-03-26T11:53:02Z,26.363042,-76.987012,0.32,26.3,1,5,2.7
2024-03-26T11:53:07Z,26.363062,-76.987003,0.62,24.8,1,5,2.7
2024-03-26T11:53:12Z,26.363067,-76.986997,0.27,36.1,1,5,2.7
